"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3099","Create course","LMS system","Wed Nov 05 07:52:19 UTC 2025","passed","Wed Nov 05 07:52:22 UTC 2025","Courses","Courses","",""
"","1799","Displaying of empty courses list","LMS system","Wed Nov 05 07:52:17 UTC 2025","passed","Wed Nov 05 07:52:19 UTC 2025","Courses","Courses","",""
"","3832","Edit course","LMS system","Wed Nov 05 07:52:28 UTC 2025","passed","Wed Nov 05 07:52:32 UTC 2025","Courses","Courses","",""
"","2043","Registration with correct email, username and password","LMS system","Wed Nov 05 07:52:01 UTC 2025","passed","Wed Nov 05 07:52:03 UTC 2025","Registration","Authentication","",""
"","3351","User login with correct email and password","LMS system","Wed Nov 05 07:51:41 UTC 2025","passed","Wed Nov 05 07:51:44 UTC 2025","Authorization","Authentication","",""
"","1344","Navigation from login page to registration page","LMS system","Wed Nov 05 07:51:59 UTC 2025","passed","Wed Nov 05 07:52:00 UTC 2025","Authorization","Authentication","",""
"","3227","Navigation from registration page to login page","LMS system","Wed Nov 05 07:52:06 UTC 2025","passed","Wed Nov 05 07:52:09 UTC 2025","Registration","Authentication","",""
"","6748","User login with correct email and password","LMS system","Wed Nov 05 07:51:51 UTC 2025","passed","Wed Nov 05 07:51:58 UTC 2025","Authorization","Authentication","",""
"","2516","Registration with correct email, username and password","LMS system","Wed Nov 05 07:52:07 UTC 2025","passed","Wed Nov 05 07:52:09 UTC 2025","Registration","Authentication","",""
"","1908","Displaying dashboard","LMS system","Wed Nov 05 07:52:33 UTC 2025","passed","Wed Nov 05 07:52:35 UTC 2025","Dashboard","Dashboard","",""
"","2247","Registration with correct email, username and password","LMS system","Wed Nov 05 07:52:11 UTC 2025","passed","Wed Nov 05 07:52:13 UTC 2025","Registration","Authentication","",""
"","1693","User login with wrong email or password","LMS system","Wed Nov 05 07:51:49 UTC 2025","passed","Wed Nov 05 07:51:51 UTC 2025","Authorization","Authentication","",""
"","2123","Displaying dashboard","LMS system","Wed Nov 05 07:52:33 UTC 2025","passed","Wed Nov 05 07:52:35 UTC 2025","Dashboard","Dashboard","",""
"","2388","Create course","LMS system","Wed Nov 05 07:52:20 UTC 2025","passed","Wed Nov 05 07:52:22 UTC 2025","Courses","Courses","",""
"","1518","Navigation from registration page to login page","LMS system","Wed Nov 05 07:52:10 UTC 2025","passed","Wed Nov 05 07:52:12 UTC 2025","Registration","Authentication","",""
"","1563","Navigation from login page to registration page","LMS system","Wed Nov 05 07:52:05 UTC 2025","passed","Wed Nov 05 07:52:06 UTC 2025","Authorization","Authentication","",""
"","1779","User login with wrong email or password","LMS system","Wed Nov 05 07:51:55 UTC 2025","passed","Wed Nov 05 07:51:56 UTC 2025","Authorization","Authentication","",""
"","1813","User login with wrong email or password","LMS system","Wed Nov 05 07:51:52 UTC 2025","passed","Wed Nov 05 07:51:54 UTC 2025","Authorization","Authentication","",""
"","1881","User login with wrong email or password","LMS system","Wed Nov 05 07:51:57 UTC 2025","passed","Wed Nov 05 07:51:59 UTC 2025","Authorization","Authentication","",""
"","2244","User login with wrong email or password","LMS system","Wed Nov 05 07:51:42 UTC 2025","passed","Wed Nov 05 07:51:44 UTC 2025","Authorization","Authentication","",""
"","1744","Displaying dashboard","LMS system","Wed Nov 05 07:52:36 UTC 2025","passed","Wed Nov 05 07:52:38 UTC 2025","Dashboard","Dashboard","",""
"","3653","User login with correct email and password","LMS system","Wed Nov 05 07:51:36 UTC 2025","passed","Wed Nov 05 07:51:39 UTC 2025","Authorization","Authentication","",""
"","1533","Displaying of empty courses list","LMS system","Wed Nov 05 07:52:15 UTC 2025","passed","Wed Nov 05 07:52:17 UTC 2025","Courses","Courses","",""
"","1238","Navigation from registration page to login page","LMS system","Wed Nov 05 07:52:03 UTC 2025","passed","Wed Nov 05 07:52:04 UTC 2025","Registration","Authentication","",""
"","1325","Displaying of empty courses list","LMS system","Wed Nov 05 07:52:13 UTC 2025","passed","Wed Nov 05 07:52:15 UTC 2025","Courses","Courses","",""
"","2996","Create course","LMS system","Wed Nov 05 07:52:23 UTC 2025","passed","Wed Nov 05 07:52:26 UTC 2025","Courses","Courses","",""
"","2220","Navigation from login page to registration page","LMS system","Wed Nov 05 07:52:02 UTC 2025","passed","Wed Nov 05 07:52:04 UTC 2025","Authorization","Authentication","",""
"","1664","User login with wrong email or password","LMS system","Wed Nov 05 07:51:38 UTC 2025","passed","Wed Nov 05 07:51:40 UTC 2025","Authorization","Authentication","",""
"","3324","Edit course","LMS system","Wed Nov 05 07:52:22 UTC 2025","passed","Wed Nov 05 07:52:26 UTC 2025","Courses","Courses","",""
"","1445","User login with wrong email or password","LMS system","Wed Nov 05 07:51:59 UTC 2025","passed","Wed Nov 05 07:52:00 UTC 2025","Authorization","Authentication","",""
"","2388","User login with wrong email or password","LMS system","Wed Nov 05 07:51:36 UTC 2025","passed","Wed Nov 05 07:51:38 UTC 2025","Authorization","Authentication","",""
"","1714","User login with wrong email or password","LMS system","Wed Nov 05 07:51:46 UTC 2025","passed","Wed Nov 05 07:51:48 UTC 2025","Authorization","Authentication","",""
"","4138","Edit course","LMS system","Wed Nov 05 07:52:27 UTC 2025","passed","Wed Nov 05 07:52:31 UTC 2025","Courses","Courses","",""
